"id","download_url","is_active","name"
"1","https://static.wikia.nocookie.net/blurgame/images/5/5b/Barge.png/revision/latest/scale-to-width-down/150?cb=20100510210429","false","Barge"
"2","https://static.wikia.nocookie.net/blurgame/images/8/8e/Bolt.png/revision/latest/scale-to-width-down/150?cb=20100510210430","true","Bolt"
"3","https://firebasestorage.googleapis.com/v0/b/jtm-cuisine.appspot.com/o/BlurApp%20Icons%2Fhandicap.png?alt=media&token=dafc433f-8cf3-4024-83d7-0b3b0e1a46b0","false","handicap"
"4","https://static.wikia.nocookie.net/blurgame/images/a/a0/Mine.png/revision/latest/scale-to-width-down/150?cb=20100510210431","true","mine"
"5","https://firebasestorage.googleapis.com/v0/b/jtm-cuisine.appspot.com/o/BlurApp%20Icons%2Fmods.png?alt=media&token=32fc2e5e-feb3-46da-bc51-62fa007c3d70","false","Mods"
"6","https://static.wikia.nocookie.net/blurgame/images/e/ea/Nitro.png/revision/latest/scale-to-width-down/150?cb=20100510210432","true","nitro"
"7","https://static.wikia.nocookie.net/blurgame/images/e/e2/Repair.png/revision/latest/scale-to-width-down/150?cb=20100510210433","true","repair"
"8","https://firebasestorage.googleapis.com/v0/b/jtm-cuisine.appspot.com/o/BlurApp%20Icons%2Frespawn.png?alt=media&token=d8b36eef-ebe3-4f20-b176-719907a443be","false","respawn"
"9","https://static.wikia.nocookie.net/blurgame/images/c/cf/Shield.png/revision/latest/scale-to-width-down/150?cb=20100510210434","false","shield"
"10","https://static.wikia.nocookie.net/blurgame/images/f/f9/Shock.png/revision/latest/scale-to-width-down/150?cb=20100510210434","false","shock"
"11","https://static.wikia.nocookie.net/blurgame/images/6/6c/Shunt.png/revision/latest/scale-to-width-down/150?cb=20100510210434","true","shunt"
"12","https://firebasestorage.googleapis.com/v0/b/jtm-cuisine.appspot.com/o/BlurApp%20Icons%2Ftime_out.png?alt=media&token=cf7b6465-54e5-488a-9b83-fa1b88cb2bc1","false","time_out"
"13","https://firebasestorage.googleapis.com/v0/b/jtm-cuisine.appspot.com/o/BlurApp%20Icons%2Fupgrades.png?alt=media&token=11acb7c9-1c7f-4b13-b975-2fc3c81c434c","true","upgrades"
